job_id,job_title,company,job_function,job_type,industry,career_level,years_of_experience,qualification,benefits
100003010741734,Assistant Human Resources Officer,Hospital Authority (Hong Kong East Cluster),"Admin & HR, HR Supporting Staff","Full Time, Contract",,,,,
100003010741372,Accounting Officer 會計文員,"Ample Solutions Co., Limited","Accounting, Accountant, Accounting Clerk / Supervisor, Treasurer","Full Time, Permanent",,,,,"Dental insurance, Double pay, Medical insurance, Performance bonus, Five-day work week"
100003010744799,Sales Specialist,Thermo Fisher Scientific (Hong Kong) Limited,"Sales, CS & Business Devpt, Business Development, Direct Sales","Full Time, Permanent",,Middle,2 years,Degree,"Dental insurance, Double pay, Life insurance, Medical insurance, Performance bonus, Five-day work week"
100003010742937,Senior Administrative Officer (Renewable Contract with Gratuity),BSH Home Appliances Ltd,"Admin & HR, Administration / Operation Manager, Clerical / Admin Staff, Receptionist","Full Time, Contract",,Middle,5 years,Non-Degree Tertiary,"Dental insurance, Gratuity, Medical insurance, Work from home, Five-day work week, Flexible working hours"
100003010743511,Assistant Accountant,AT Global Services Limited,"Accounting, Accountant, Accounting Clerk / Supervisor, Banking / Finance, Financial Services","Full Time, Permanent",,Middle,3 years,Non-Degree Tertiary,"Medical insurance, Performance bonus, Five-day work week"
100003010741320,Accounting Clerk / Officer,Sino Sound Holdings Limited,"Accounting, Accounting Clerk / Supervisor",Full Time,,,,,"Medical insurance, Five-day work week"
100003010744970,"Customer Service Officer (3 months contract, Call Centre HK$22K- HK$25K)",Manpower Services (Hong Kong) Limited,"Medical Services, Medical Services Technician",Contract,,Entry Level,N/A,(N/A),
100003010745254,Marketing Assistant (5 days),Data World Computer & Communication Ltd,"Marketing / Public Relations, Marketing - Direct Marketing, Marketing - General / Support, Public Relations - Event Management","Full Time, Permanent",,Entry Level,1 year,Non-Degree Tertiary,"Medical insurance, Performance bonus, Five-day work week"
100003010745139,Shipping Clerk (船務文員),Aland Limited,"Transportation & Logistics, Shipping","Full Time, Permanent",,Entry Level,2 years,School Certificate,"Medical insurance, Overtime pay, Performance bonus, Five-day work week"
100003010744921,Chief Financial Officer – International Law Firm HK$120k – 140k,David James Recruitment  China Limited,"Accounting, Chief Accountant, Consulting, Financial Controller",Full Time,,,,,"Medical insurance, Five-day work week"
100003010745301,Contract CS & Inventory Assistant (12 month renewable contract),Infinitus (Hong Kong) Company Limited,"Sales, CS & Business Devpt, Customer Service - Supervisor / Officer, Transportation & Logistics, Inventory / Warehousing","Full Time, Contract",,Entry Level,,,
100003010744084,Human Resources Part Time,China Telecom Global Limited,"Admin & HR, HR Supporting Staff",Part Time,,,N/A,Non-Degree Tertiary,"Five-day work week, Flexible working hours"
100003010745064,Supply Chain Executive,LG H&H HK Limited,"Transportation & Logistics, Supply Chain","Full Time, Permanent",,,3 years,Degree,
100003010740033,Accounting Officer/ Assistant Accounting Officer,eClass Limited,"Accounting, Accounting Clerk / Supervisor","Full Time, Permanent",,Middle,2 years,Non-Degree Tertiary,
100003010744912,Project Associate,The University of Hong Kong,"Admin & HR, Clerical / Admin Staff",Full Time,,Entry Level,N/A,School Certificate,
100003010743504,Human Resources Officer (Recruitment & ER),Baguio Green Group Limited,"Admin & HR, Clerical / Admin Staff, HR Supporting Staff, Recruitment / Executive Search","Full Time, Permanent",,Middle,2 years,Degree,"Education allowance, Medical insurance, Performance bonus, Five-day work week"
100003010742442,Business development Executive,Deliveroo Hong Kong Limited,"Sales, CS & Business Devpt, Business Development","Full Time, Permanent",,,,,"Dental insurance, Medical insurance, Performance bonus, Work from home, Five-day work week, Flexible working hours"
100003010745155,Marketing Executive,Altai Technologies Ltd,"Sales, CS & Business Devpt, Sales Administration",Full Time,,Entry Level,1 year,Degree,"Dental insurance, Medical insurance, Five-day work week"
